title,name,medium,country,accessionyear,link,tag,wikidata
Cento Favole Morali (100 moral fables),Giovanni Maria Verdizotti,Printed book with woodcut illustrations,,1948,https://www.metmuseum.org/art/collection/search/358343,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}, {'term': 'Serpents', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300417734', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q2102'}]",
Rim sherd,,Ceramic,,1969,https://www.metmuseum.org/art/collection/search/325999,,
Bowl,,Bronze,,1969,https://www.metmuseum.org/art/collection/search/325970,,
Beak spout,,Ceramic,,1969,https://www.metmuseum.org/art/collection/search/325997,,
Spouted jar,,Ceramic,,1974,https://www.metmuseum.org/art/collection/search/326149,,
Two-handled jar,,Ceramic,,1974,https://www.metmuseum.org/art/collection/search/326150,,
Jar,,Ceramic,,1978,https://www.metmuseum.org/art/collection/search/326454,,
Ornament (Sipattal),Isneg artist,"Shell, glass, copper alloy, silver alloy, horn, fiber",Philippines,1999,https://www.metmuseum.org/art/collection/search/318050,,
Fibula,,Bronze,,1969,https://www.metmuseum.org/art/collection/search/325969,,
Beaker with heads and toads,Lambayeque (Sicán) artist(s),Gold,Peru,1966,https://www.metmuseum.org/art/collection/search/309415,"[{'term': 'Faces', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300251798', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q37017'}, {'term': 'Frogs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250018', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3116510'}]",
Beaker with heads and toads,Lambayeque (Sicán) artist(s),Gold,Peru,1966,https://www.metmuseum.org/art/collection/search/309416,"[{'term': 'Faces', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300251798', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q37017'}, {'term': 'Frogs', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300250018', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q3116510'}]",
Coil,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325966,,https://www.wikidata.org/wiki/Q116282398
Coil,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325965,,https://www.wikidata.org/wiki/Q116282395
Coil,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325963,,https://www.wikidata.org/wiki/Q116282396
Ingot,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325968,,https://www.wikidata.org/wiki/Q116282393
Coil,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325964,,https://www.wikidata.org/wiki/Q116282397
Coil,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325967,,https://www.wikidata.org/wiki/Q116407980
Spiral bead,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325960,,https://www.wikidata.org/wiki/Q116282401
Spiral bead,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325959,,https://www.wikidata.org/wiki/Q116282403
Spiral bead,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325961,,https://www.wikidata.org/wiki/Q116282400
Earring,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325962,,https://www.wikidata.org/wiki/Q116282399
Coil,,Silver,,1978,https://www.metmuseum.org/art/collection/search/326396,,https://www.wikidata.org/wiki/Q116236546
Coil,,Silver,,1978,https://www.metmuseum.org/art/collection/search/326397,,https://www.wikidata.org/wiki/Q116236544
Dagger (Katar),,"Steel, silver",,1936,https://www.metmuseum.org/art/collection/search/24305,,
Funerary Carving (Malagan),,"Wood, paint, shell, fiber",Papua New Guinea,1979,https://www.metmuseum.org/art/collection/search/313662,,
Canoe Prow Ornament (Mani),,"Wood, paint",Indonesia,1978,https://www.metmuseum.org/art/collection/search/311946,"[{'term': 'Birds', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300266506', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q5113'}]",
Bridge-spouted jar,,Ceramic,,1974,https://www.metmuseum.org/art/collection/search/326148,,
Young Women in a Landscape with Architectural Fragments,Hubert Robert,"Pen and brown ink, brush and brown, gray, and blue wash, over red chalk counterproof",,1959,https://www.metmuseum.org/art/collection/search/339695,"[{'term': 'Women', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025943', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q467'}, {'term': 'Landscapes', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132294', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q191163'}, {'term': 'Trees', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300132410', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q10884'}]",
Beaker with rattle,Lambayeque (Sicán) artist(s),"Gold, turquoise, resin",Peru,1991,https://www.metmuseum.org/art/collection/search/316433,,
Memory Board (Lukasa),,Wood,Democratic Republic of Congo,1977,https://www.metmuseum.org/art/collection/search/690570,,
Funerary Carving (Malagan),,"Wood, paint, fiber",Papua New Guinea,1978,https://www.metmuseum.org/art/collection/search/311158,,
Four Carnival Musicians,Zurich Pottery and Porcelain Factory,Soft-paste porcelain,,1982,https://www.metmuseum.org/art/collection/search/207335,"[{'term': 'Men', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025928', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8441'}, {'term': 'Violins', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300042215', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8355'}, {'term': 'Musicians', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300025666', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q639669'}, {'term': 'Cellos', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300209202', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q8371'}]",
Lotus,Wu Xizai,Hanging scroll; ink and color on paper,,1986,https://www.metmuseum.org/art/collection/search/49450,,
Spiral pendant,,Silver,,1969,https://www.metmuseum.org/art/collection/search/325958,,https://www.wikidata.org/wiki/Q116282402
,,,,,,,
Chamber Organ,William Crowell,"Wood, various materials",United States,1974,https://www.metmuseum.org/art/collection/search/504265,,
Paccha (ritual vessel),Inca artist(s),"Ceramic, slip",Peru,1986,https://www.metmuseum.org/art/collection/search/314954,,https://www.wikidata.org/wiki/Q116407029
Chamber Organ,Unknown,"Wood, various materials",Germany,1889,https://www.metmuseum.org/art/collection/search/503904,,
Paccha (ritual vessel),Inca artist(s),"Ceramic, slip",Peru,1986,https://www.metmuseum.org/art/collection/search/314955,"[{'term': 'Corn', 'AAT_URL': 'http://vocab.getty.edu/page/aat/300375397', 'Wikidata_URL': 'https://www.wikidata.org/wiki/Q11575'}]",
The New Wright Plane,Charles Nesensohn,Gelatin silver print,,1993,https://www.metmuseum.org/art/collection/search/266948,,
The Abolitionists in the Park,Nicole Eisenman,Oil on canvas,,2022,https://www.metmuseum.org/art/collection/search/875741,,https://www.wikidata.org/wiki/Q116445658
Chamber Organ,Thomas Chapman,Various materials,United Kingdom,1889,https://www.metmuseum.org/art/collection/search/502327,,
Deep Roots,Syd Carpenter,Earthenware,,2020,https://www.metmuseum.org/art/collection/search/828118,,
